pin,scan_date,verify_mode,io_mode,work_code
6628,"2023-07-03 18:38:03",0,0,0
10002,"2023-07-03 18:55:58",0,1,0
1166,"2023-07-03 18:56:26",0,0,0
71822,"2023-07-03 20:36:58",0,0,0
12936,"2023-07-03 21:27:01",0,0,0
10571,"2023-07-03 22:06:32",0,0,0
112090,"2023-07-04 06:02:48",0,0,0
686,"2023-07-04 06:31:27",0,0,0
686,"2023-07-04 06:31:30",0,0,0
71105,"2023-07-04 06:33:45",0,0,0
11181,"2023-07-04 06:39:19",0,0,0
12804,"2023-07-04 06:44:28",0,0,0
12804,"2023-07-04 06:44:30",0,0,0
2731,"2023-07-04 06:47:27",0,0,0
9124,"2023-07-04 06:56:26",0,0,0
9124,"2023-07-04 06:56:29",0,0,0
9136,"2023-07-04 07:14:18",0,0,0
12837,"2023-07-04 07:15:38",0,0,0
8936,"2023-07-04 07:15:50",0,0,0
8936,"2023-07-04 07:15:52",0,0,0
9128,"2023-07-04 07:18:21",0,0,0
12362,"2023-07-04 07:20:23",0,0,0
11745,"2023-07-04 07:21:34",0,0,0
11745,"2023-07-04 07:21:36",0,0,0
110166,"2023-07-04 07:21:56",0,0,0
8944,"2023-07-04 07:26:37",0,0,0
8944,"2023-07-04 07:26:39",0,0,0
11098,"2023-07-04 07:26:58",0,0,0
11098,"2023-07-04 07:27:00",0,0,0
11098,"2023-07-04 07:27:03",0,0,0
9549,"2023-07-04 07:28:37",0,0,0
9549,"2023-07-04 07:28:39",0,0,0
12379,"2023-07-04 08:02:54",0,0,0
71822,"2023-07-04 08:45:16",0,0,0
10563,"2023-07-04 08:50:42",0,0,0
10563,"2023-07-04 08:50:44",0,0,0
10563,"2023-07-04 08:50:46",0,0,0
12604,"2023-07-04 08:50:56",0,0,0
19295,"2023-07-04 08:51:58",0,0,0
18761,"2023-07-04 09:00:54",0,0,0
12249,"2023-07-04 09:03:45",0,0,0
11615,"2023-07-04 09:17:43",0,0,0
12426,"2023-07-04 09:28:27",0,0,0
12672,"2023-07-04 09:35:02",0,0,0
11672,"2023-07-04 09:56:29",0,0,0
9131,"2023-07-04 11:41:05",0,0,0
9132,"2023-07-04 11:50:35",0,0,0
9132,"2023-07-04 11:50:37",0,0,0
11672,"2023-07-04 12:57:48",0,0,0
71805,"2023-07-04 13:00:58",0,0,0
12249,"2023-07-04 13:06:22",0,0,0
18761,"2023-07-04 13:17:02",0,1,0
100347,"2023-07-04 13:18:56",0,0,0
19295,"2023-07-04 13:35:14",0,1,0
100330,"2023-07-04 13:41:45",0,0,0
112073,"2023-07-04 13:46:10",0,0,0
112073,"2023-07-04 13:46:13",0,0,0
11047,"2023-07-04 13:58:47",0,0,0
11047,"2023-07-04 13:58:49",0,0,0
12379,"2023-07-04 14:16:35",0,2,0
12804,"2023-07-04 14:35:05",0,1,0
12672,"2023-07-04 14:41:23",0,0,0
71105,"2023-07-04 14:41:32",0,2,0
2731,"2023-07-04 14:44:20",0,0,0
12299,"2023-07-04 15:26:14",0,0,0
112090,"2023-07-04 15:39:22",0,0,0
9124,"2023-07-04 15:46:57",0,0,0
9124,"2023-07-04 15:47:41",0,0,0
12362,"2023-07-04 16:00:07",0,0,0
11181,"2023-07-04 16:00:27",0,0,0
110166,"2023-07-04 16:03:15",0,0,0
11745,"2023-07-04 16:03:51",0,1,0
11745,"2023-07-04 16:03:53",0,1,0
12837,"2023-07-04 16:07:24",0,0,0
11098,"2023-07-04 16:08:27",0,1,0
11098,"2023-07-04 16:08:29",0,1,0
11098,"2023-07-04 16:08:31",0,1,0
8936,"2023-07-04 16:11:30",0,1,0
8936,"2023-07-04 16:11:32",0,1,0
11615,"2023-07-04 16:14:45",0,0,0
8944,"2023-07-04 16:19:00",0,1,0
8944,"2023-07-04 16:19:02",0,1,0
11961,"2023-07-04 16:19:07",0,1,0
9549,"2023-07-04 16:28:41",0,0,0
12276,"2023-07-04 17:01:50",0,0,0
1982,"2023-07-04 17:39:01",0,0,0
