pin,scan_date,verify_mode,io_mode,work_code
112090,"2023-06-01 05:54:39",0,0,0
16704,"2023-06-01 06:49:43",0,0,0
2731,"2023-06-01 07:49:52",0,0,0
12379,"2023-06-01 08:17:27",0,0,0
100347,"2023-06-01 09:16:58",0,0,0
100347,"2023-06-01 09:17:09",0,2,0
12804,"2023-06-01 09:45:17",0,0,0
9136,"2023-06-01 10:08:31",0,0,0
12804,"2023-06-01 10:38:58",0,1,0
10571,"2023-06-01 13:22:37",0,0,0
17095,"2023-06-01 13:59:41",0,0,0
17095,"2023-06-01 13:59:43",0,0,0
17095,"2023-06-01 13:59:45",0,0,0
12936,"2023-06-01 14:02:15",0,0,0
12379,"2023-06-01 15:03:50",0,2,0
112090,"2023-06-01 15:26:40",0,0,0
12804,"2023-06-01 17:06:49",0,0,0
12804,"2023-06-01 18:25:37",0,1,0
71822,"2023-06-01 20:30:43",0,0,0
71822,"2023-06-01 20:30:45",0,0,0
100347,"2023-06-01 20:55:56",0,0,0
10571,"2023-06-01 21:07:29",0,0,0
12936,"2023-06-01 21:48:59",0,0,0
112090,"2023-06-02 05:57:36",0,0,0
71258,"2023-06-02 06:25:08",0,0,0
112073,"2023-06-02 06:36:30",0,0,0
11630,"2023-06-02 07:31:24",0,0,0
11630,"2023-06-02 07:31:26",0,0,0
71822,"2023-06-02 07:55:58",0,2,0
71822,"2023-06-02 07:56:01",0,2,0
12536,"2023-06-02 08:02:32",0,0,0
12426,"2023-06-02 08:42:50",0,0,0
100347,"2023-06-02 08:45:23",0,2,0
9136,"2023-06-02 09:22:06",0,0,0
71105,"2023-06-02 12:36:24",0,0,0
17036,"2023-06-02 13:26:24",0,0,0
12674,"2023-06-02 14:40:37",0,0,0
112090,"2023-06-02 15:00:44",0,0,0
112073,"2023-06-02 15:26:44",0,2,0
12536,"2023-06-02 15:38:03",0,0,0
59005,"2023-06-02 20:19:11",0,0,0
59005,"2023-06-02 20:19:13",0,0,0
11630,"2023-06-02 20:21:28",0,0,0
71822,"2023-06-02 20:26:24",0,0,0
71822,"2023-06-02 20:26:26",0,0,0
12936,"2023-06-02 20:29:34",0,0,0
71105,"2023-06-02 20:31:27",0,2,0
71258,"2023-06-03 06:34:06",0,0,0
71258,"2023-06-03 06:34:08",0,0,0
12804,"2023-06-03 06:37:32",0,0,0
12804,"2023-06-03 06:37:34",0,0,0
100339,"2023-06-03 06:41:11",0,0,0
71805,"2023-06-03 06:44:30",0,0,0
71105,"2023-06-03 06:45:07",0,0,0
112073,"2023-06-03 06:45:31",0,0,0
9136,"2023-06-03 06:53:43",0,0,0
11913,"2023-06-03 06:59:07",0,0,0
11630,"2023-06-03 07:30:02",0,0,0
11630,"2023-06-03 07:30:04",0,0,0
59005,"2023-06-03 07:41:21",0,0,0
71822,"2023-06-03 08:16:13",0,2,0
71822,"2023-06-03 08:16:15",0,2,0
12936,"2023-06-03 08:49:20",0,0,0
12536,"2023-06-03 11:34:27",0,0,0
12804,"2023-06-03 12:37:17",0,1,0
12536,"2023-06-03 12:43:56",0,0,0
112090,"2023-06-03 12:52:35",0,0,0
100347,"2023-06-03 13:45:44",0,0,0
71105,"2023-06-03 14:17:22",0,2,0
112073,"2023-06-03 15:20:58",0,2,0
71805,"2023-06-03 15:47:56",0,1,0
16704,"2023-06-03 20:37:27",0,0,0
2731,"2023-06-03 20:50:26",0,0,0
112090,"2023-06-03 21:42:14",0,0,0
100347,"2023-06-03 22:11:13",0,2,0
71258,"2023-06-04 06:22:43",0,0,0
77518,"2023-06-04 06:22:54",0,0,0
11047,"2023-06-04 06:55:36",0,0,0
11047,"2023-06-04 06:55:39",0,0,0
2731,"2023-06-04 07:41:57",0,0,0
12426,"2023-06-04 09:53:03",0,0,0
71805,"2023-06-04 13:40:15",0,0,0
100347,"2023-06-04 13:44:45",0,0,0
77518,"2023-06-04 14:58:49",0,0,0
112090,"2023-06-04 19:47:51",0,0,0
112073,"2023-06-04 20:45:55",0,0,0
2731,"2023-06-04 20:48:46",0,0,0
112109,"2023-06-04 21:00:20",0,0,0
71805,"2023-06-04 21:39:23",0,1,0
100347,"2023-06-04 21:47:59",0,2,0
686,"2023-06-05 06:18:01",0,0,0
686,"2023-06-05 06:18:03",0,0,0
11630,"2023-06-05 06:38:37",0,0,0
