pin,scan_date,verify_mode,io_mode,work_code
9999775,04-03-24 20:01,1,1,0
9999775,05-03-24 11:23,1,0,0
9999775,05-03-24 20:03,1,1,0
9999775,06-03-24 11:23,1,0,0
9999775,06-03-24 20:01,1,1,0
9999775,07-03-24 11:17,1,0,0
9999775,07-03-24 20:02,1,1,0
9999776,01-03-24 10:48,1,0,0
9999776,01-03-24 20:01,1,1,0
9999776,04-03-24 11:23,1,0,0
9999776,04-03-24 20:01,1,1,0
9999776,05-03-24 11:23,1,0,0
9999776,05-03-24 20:03,1,1,0
9999776,06-03-24 11:23,1,0,0
9999776,06-03-24 20:01,1,1,0
9999776,07-03-24 11:17,1,0,0
9999776,07-03-24 20:01,1,1,0
9999777,01-03-24 08:53,1,0,0
9999777,01-03-24 19:59,1,1,0
9999777,02-03-24 05:47,1,1,0
9999777,02-03-24 16:01,1,1,0
9999777,05-03-24 09:12,1,0,0
9999777,05-03-24 19:28,1,1,0
9999777,06-03-24 08:49,1,0,0
9999777,06-03-24 18:39,1,1,0
9999777,07-03-24 09:05,1,0,0
9999778,01-03-24 09:59,1,0,0
9999778,01-03-24 20:01,1,1,0
9999778,04-03-24 09:26,1,0,0
9999778,04-03-24 20:01,1,1,0
9999778,05-03-24 10:35,1,0,0
9999778,05-03-24 20:01,1,1,0
9999778,06-03-24 10:49,1,0,0
9999778,06-03-24 20:01,1,1,0
9999778,07-03-24 10:35,1,0,0
9999779,01-03-24 10:38,1,0,0
9999779,04-03-24 11:19,1,0,0
9999779,04-03-24 20:00,1,1,0
9999779,05-03-24 11:05,1,0,0
9999779,05-03-24 20:04,1,1,0
9999779,06-03-24 10:16,1,0,0
9999779,06-03-24 20:00,1,1,0
9999779,07-03-24 11:26,1,0,0
9999779,07-03-24 20:01,1,1,0
9999781,01-03-24 09:59,1,0,0
9999781,01-03-24 20:01,1,1,0
9999781,04-03-24 11:14,1,0,0
9999781,04-03-24 20:01,1,1,0
9999781,05-03-24 11:18,1,0,0
9999781,05-03-24 20:03,1,1,0
9999781,06-03-24 11:18,1,0,0
9999781,06-03-24 20:01,1,1,0
9999781,07-03-24 11:17,1,0,0
9999781,07-03-24 20:01,1,1,0
